#name              kp       xarc       yarc   xerr   yerr         vx         vy     vxerr     vyerr         t0   use      r2d
ob150029         12.7    0.00000    0.00000    0.0    0.0    -0.4324     0.1849    0.0609    0.0575   2016.468     0    0.000
S11_15_3.9       15.0    1.13982    3.73524    0.0    0.0     1.3921     1.9356    0.1033    0.1973   2016.557     0    3.905
S12_15_2.5       15.1   -1.96334    1.48984    0.0    0.0     3.9059     0.7450    0.1125    0.0917   2016.513     8    2.465
S13_13_4.5       13.4   -4.42878    0.03100    0.0    0.0     0.0000     0.0000    0.0000    0.0000   2016.000     0    4.475
S14_15_2.2       14.6   -0.55756   -2.11185    0.0    0.0     0.7828    -2.7858    0.0853    0.0755   2016.473     8    2.184
S001_15_3.9      14.7   -1.20572   -3.67962    0.0    0.0    -0.4846    -0.7343    0.1143    0.1138   2016.543     0    3.872
S003_16_0.9      15.7   -0.79351    0.42121    0.0    0.0     0.5907    -0.2856    0.0754    0.0572   2016.507     8    0.898
S002_16_0.3      15.7   -0.28491   -0.17492    0.0    0.0     2.5021     1.4155    0.0887    0.0862   2016.370     8    0.334
S004_16_3.2      15.8    0.22480    3.15074    0.0    0.0     2.3763     5.0894    0.0882    0.1790   2016.471     0    3.159
S005_16_1.1      15.9   -1.06308    0.14734    0.0    0.0    -0.8559     3.8130    0.0802    0.0676   2016.508     8    1.073
S006_16_3.5      16.0   -3.38817    0.69333    0.0    0.0    -2.2889    -2.3530    0.1550    0.0975   2016.494     0    3.458
S007_16_2.7      16.3    2.74368   -0.14441    0.0    0.0     2.7332    -0.3103    0.0761    0.0766   2016.505     8    2.747
S008_17_3.1      16.6    2.72206   -1.41932    0.0    0.0     5.8342     5.0399    0.0877    0.0852   2016.399     0    3.070
S009_17_2.5      16.8    2.08315    1.34092    0.0    0.0     2.6770     4.2898    0.0892    0.1226   2016.412     8    2.477
S011_17_1.0      17.0    0.18193   -0.93829    0.0    0.0    -1.5356     4.3378    0.0732    0.0622   2016.391     8    0.956
S014_17_3.9      17.1   -3.89463   -0.30269    0.0    0.0     0.6214     0.3427    0.1655    0.1023   2016.509     0    3.906
S013_17_3.5      17.2    1.15399    3.35338    0.0    0.0     3.9791     4.6048    0.1058    0.1892   2016.551     0    3.546
S012_17_2.9      17.2    2.87714   -0.32348    0.0    0.0     3.5820    -2.8798    0.1081    0.0957   2016.370     8    2.895
S015_17_3.3      17.4    1.53357   -2.97804    0.0    0.0    -0.3611     0.8843    0.0917    0.1371   2016.460     0    3.350
